fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,stars,price,kcal,age,production volume,sediment volume,opacity,magnesium oxide,total potassium
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,2.0,13.504643798178448,197.3018119441115,1.832279153384015,49554.89913469925,9.580280010103126,0.10027243046341672,52.47018710299512,100.49962212817209
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,2.0,15.260627378496153,208.99438469161367,1.8794952776335583,52287.4050666038,10.353391901001647,0.10083308568976225,48.61635451057547,100.96725410943515
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,2.0,16.010697407112687,194.8113277734273,1.919965795985527,50018.427563386525,10.96603193982839,0.09747914061219086,51.28162894154417,99.02154762862693
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,3.0,15.837355982103684,205.1856617371585,2.0696920479600553,51965.12921245651,10.472433151338668,0.10033044427851757,50.94885609690531,97.56446995850594
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,2.0,17.57136882632982,201.98480958734166,2.0091473160214495,50738.08754732358,10.424662457690816,0.09916145054207869,50.16527260227291,99.42709860208161
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,2.0,16.141747650571883,185.69181552544134,2.132733331067171,49692.22221676284,10.052858089893496,0.10180084757800247,50.070583308128,100.25276268794528
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,2.0,14.701070861782318,180.31403389379966,2.1296652897981274,49711.451517745074,10.27168421865751,0.10107369465747171,49.88932236541513,97.85371649297463
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,4.0,16.138485105728435,219.7925529311275,2.1025301991217926,51408.85723643036,10.164007792326222,0.09952520198922775,50.56809245936004,103.97954938865111
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,4.0,8.86089655978911,177.4780320832076,2.0754272030580534,51286.41202517065,9.67478330115904,0.10023650836450683,49.214815142619834,95.18955776498612
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2.0,13.190277608873282,167.94884615442922,1.8980579182852335,51364.186619681816,9.470215686692713,0.10011595285306914,50.99753043279691,102.60174351659865
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,2.0,24.445104334044878,204.63911449119854,2.0247259761187277,48825.63864283002,10.328956087404016,0.10016178222542606,49.74006469719778,100.88626166807985
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2.0,12.42822492314802,245.1349845780896,1.899499621557858,50878.13397933995,9.44268639427078,0.09907827128465102,47.16373879328697,100.60052140008459
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,2.0,18.688390113621733,204.32122288265248,2.065640647127469,50816.53933855284,9.645790532053425,0.10170584019340337,49.71330617283969,99.51381872252051
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,2.0,11.675332465668498,205.68677610387968,1.9780002189279284,48213.68218719384,10.649153919809239,0.10031233753394965,53.76857449737548,100.99590802895312
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,2.0,18.623681941892386,226.90537766670596,2.1929992825096356,48870.714794458545,10.157121628244063,0.09968685968499355,49.59075405717238,97.3461545488848
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,2.0,14.668198895104087,217.17883162034903,1.8939400080782662,48009.93303605257,10.565760884121573,0.098923642790208,51.00899927717352,101.98340978196478
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,4.0,22.00503027282001,192.60150889994756,1.819850668438887,49705.20768207757,9.923323492773312,0.09984146409076487,50.21661778208684,104.64496752584144
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,2.0,15.032218953174457,242.247082690433,1.9188326237819429,49763.98718606552,10.37513332145262,0.09971780047668181,49.49371385463958,96.75041922000548
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,1.0,14.988795794610011,195.60419687418783,2.1055364353258716,50588.75482036552,9.817454714338451,0.1016732016313636,49.26812651024106,99.76641592765837
